activity_arm,ISO/TS 10303-1047
activity_as_realized_arm,ISO/TS 10303-1259
activity_characterized_arm,ISO/TS 10303-1272
activity_method_arm,ISO/TS 10303-1049
activity_method_assignment_arm,ISO/TS 10303-1249
activity_method_characterized_arm,ISO/TS 10303-1298
activity_method_implementation_arm,ISO/TS 10303-1261
activity_structure_and_classification_arm,ISO/TS 10303-1169
advanced_boundary_representation_arm,ISO/TS 10303-1514
aec_functions_and_domains_arm,ISO/TS 10303-1388
aec_service_life_arm,ISO/TS 10303-1389
alias_identification_arm,ISO/TS 10303-1025
altered_package_arm,ISO/TS 10303-1601
altered_part_arm,ISO/TS 10303-1602
alternative_solution_arm,ISO/TS 10303-1109
analysis_arm,ISO/TS 10303-1372
analysis_assignment_arm,ISO/TS 10303-1474
analysis_characterized_arm,ISO/TS 10303-1475
analysis_identification_arm,ISO/TS 10303-1476
analysis_representation_arm,ISO/TS 10303-1785
analysis_shape_arm,ISO/TS 10303-1374
analytical_model_arm,ISO/TS 10303-1603
annotated_presentation_arm,ISO/TS 10303-1360
ap203_configuration_controlled_3d_design_of_mechanical_parts_and_assemblies_arm,ISO/TS 10303-403
ap209_multidisciplinary_analysis_and_design_arm,ISO/TS 10303-409
ap210_assembly_functional_interface_requirements_arm,ISO/TS 10303-1604
ap210_assembly_functional_requirements_arm,ISO/TS 10303-1605
ap210_assembly_physical_design_arm,ISO/TS 10303-1606
ap210_assembly_physical_interface_requirements_arm,ISO/TS 10303-1607
ap210_assembly_physical_requirements_arm,ISO/TS 10303-1608
ap210_assembly_requirement_allocation_arm,ISO/TS 10303-1609
ap210_assembly_technology_constraints_arm,ISO/TS 10303-1610
ap210_connection_zone_based_model_extraction_arm,ISO/TS 10303-1611
ap210_datum_difference_based_model_definition_arm,ISO/TS 10303-1759
ap210_device_functional_and_physical_characterization_arm,ISO/TS 10303-1612
ap210_electronic_assembly_interconnect_and_packaging_design_arm,ISO/TS 10303-410
ap210_functional_decomposition_arm,ISO/TS 10303-1614
ap210_functional_requirement_allocation_arm,ISO/TS 10303-1615
ap210_functional_specification_arm,ISO/TS 10303-1616
ap210_interconnect_design_arm,ISO/TS 10303-1617
ap210_interconnect_design_for_microwave_arm,ISO/TS 10303-1618
ap210_interconnect_functional_requirements_arm,ISO/TS 10303-1619
ap210_interconnect_physical_requirements_arm,ISO/TS 10303-1620
ap210_interconnect_requirement_allocation_arm,ISO/TS 10303-1621
ap210_interconnect_technology_constraints_arm,ISO/TS 10303-1622
ap210_laminate_assembly_design_arm,ISO/TS 10303-1623
ap210_packaged_part_white_box_model_arm,ISO/TS 10303-1625
ap210_package_functional_and_physical_characterization_arm,ISO/TS 10303-1624
ap210_physical_unit_physical_characterization_arm,ISO/TS 10303-1626
ap210_printed_part_functional_and_physical_characterization_arm,ISO/TS 10303-1627
ap210_production_rule_arm,ISO/TS 10303-1630
ap233_systems_engineering_arm,ISO/TS 10303-433
ap236_furniture_catalog_and_interior_design_arm,ISO/TS 10303-436
ap239_activity_recording_arm,ISO/TS 10303-1287
ap239_document_management_arm,ISO/TS 10303-1297
ap239_management_resource_information_arm,ISO/TS 10303-1289
ap239_part_definition_information_arm,ISO/TS 10303-1293
ap239_product_definition_information_arm,ISO/TS 10303-1292
ap239_product_life_cycle_support_arm,ISO/TS 10303-439
ap239_product_status_recording_arm,ISO/TS 10303-1304
ap239_properties_arm,ISO/TS 10303-1295
ap239_task_specification_resourced_arm,ISO/TS 10303-1306
ap239_work_definition_arm,ISO/TS 10303-1307
appearance_assignment_arm,ISO/TS 10303-1001
approval_arm,ISO/TS 10303-1012
area_2d_arm,ISO/TS 10303-1631
assembly_2d_shape_arm,ISO/TS 10303-1632
assembly_3d_shape_arm,ISO/TS 10303-1633
assembly_component_placement_requirements_arm,ISO/TS 10303-1634
assembly_feature_definition_arm,ISO/TS 10303-1102
assembly_functional_interface_requirement_arm,ISO/TS 10303-1635
assembly_module_design_arm,ISO/TS 10303-1636
assembly_module_macro_definition_arm,ISO/TS 10303-1637
assembly_module_usage_view_arm,ISO/TS 10303-1642
assembly_module_with_cable_component_arm,ISO/TS 10303-1644
assembly_module_with_cable_component_2d_arm,ISO/TS 10303-1638
assembly_module_with_cable_component_3d_arm,ISO/TS 10303-1639
assembly_module_with_interconnect_component_arm,ISO/TS 10303-1643
assembly_module_with_macro_component_arm,ISO/TS 10303-1640
assembly_module_with_packaged_connector_component_arm,ISO/TS 10303-1645
assembly_module_with_subassembly_arm,ISO/TS 10303-1641
assembly_physical_interface_requirement_arm,ISO/TS 10303-1647
assembly_physical_requirement_allocation_arm,ISO/TS 10303-1648
assembly_structure_arm,ISO/TS 10303-1026
assembly_technology_arm,ISO/TS 10303-1649
associative_annotation_arm,ISO/TS 10303-1361
associative_draughting_elements_arm,ISO/TS 10303-1311
associative_text_arm,ISO/TS 10303-1132
attachment_slot_arm,ISO/TS 10303-1250
attribute_classification_arm,ISO/TS 10303-1246
bare_die_arm,ISO/TS 10303-1650
basic_curve_arm,ISO/TS 10303-1651
basic_data_representation_arm,ISO/TS 10303-1773
basic_geometric_topology_arm,ISO/TS 10303-1323
basic_geometry_arm,ISO/TS 10303-1652
behaviour_description_assignment_arm,ISO/TS 10303-1483
behaviour_identification_and_version_arm,ISO/TS 10303-1482
behaviour_view_definition_arm,ISO/TS 10303-1481
binary_representation_arm,ISO/TS 10303-1369
building_component_arm,ISO/TS 10303-1143
building_item_arm,ISO/TS 10303-1144
building_structure_arm,ISO/TS 10303-1145
cable_arm,ISO/TS 10303-1653
camera_view_3d_arm,ISO/TS 10303-1316
cardinality_of_relationship_arm,ISO/TS 10303-1211
catalog_data_information_arm,ISO/TS 10303-1351
catalog_data_information_and_shape_representation_arm,ISO/TS 10303-1352
certification_arm,ISO/TS 10303-1044
cfd_conditions_arm,ISO/TS 10303-1375
cfd_equations_arm,ISO/TS 10303-1376
cfd_model_arm,ISO/TS 10303-1377
cfd_results_arm,ISO/TS 10303-1378
cfd_specified_general_property_arm,ISO/TS 10303-1379
characteristic_arm,ISO/TS 10303-1654
characterizable_object_arm,ISO/TS 10303-1765
chemical_substance_arm,ISO/TS 10303-1655
class_arm,ISO/TS 10303-1070
classification_arm,ISO/TS 10303-1212
classification_assignment_arm,ISO/TS 10303-1114
classification_with_attributes_arm,ISO/TS 10303-1111
class_of_activity_arm,ISO/TS 10303-1071
class_of_activity_library_arm,ISO/TS 10303-1174
class_of_activity_structure_arm,ISO/TS 10303-1170
class_of_composition_of_activity_arm,ISO/TS 10303-1171
class_of_composition_of_product_arm,ISO/TS 10303-1158
class_of_connection_of_activity_arm,ISO/TS 10303-1172
class_of_connection_of_product_arm,ISO/TS 10303-1159
class_of_containment_of_product_arm,ISO/TS 10303-1160
class_of_description_by_document_arm,ISO/TS 10303-1183
class_of_document_arm,ISO/TS 10303-1182
class_of_document_library_arm,ISO/TS 10303-1181
class_of_involvement_in_activity_arm,ISO/TS 10303-1173
class_of_involvement_of_product_in_connection_arm,ISO/TS 10303-1161
class_of_person_arm,ISO/TS 10303-1188
class_of_product_arm,ISO/TS 10303-1077
class_of_product_library_arm,ISO/TS 10303-1162
class_of_product_structure_arm,ISO/TS 10303-1157
collection_identification_and_version, ISO/TS 10303-1396
colour_arm,ISO/TS 10303-1002
component_feature_arm,ISO/TS 10303-1657
component_grouping_arm,ISO/TS 10303-1656
compound_shape_representation_arm,ISO/TS 10303-1327
composite_constituent_shape_arm,ISO/TS 10303-1767
composite_material_aspects_arm,ISO/TS 10303-1768
composite_representation_item_arm,ISO/TS 10303-1774
composition_of_individual_activity_arm,ISO/TS 10303-1177
composition_of_individual_product_arm,ISO/TS 10303-1166
condition_arm,ISO/TS 10303-1253
condition_characterized_arm,ISO/TS 10303-1257
condition_evaluation_arm,ISO/TS 10303-1254
condition_evaluation_characterized_arm,ISO/TS 10303-1296
conditional_effectivity_arm,ISO/TS 10303-1397
conductivity_material_aspects_arm,ISO/TS 10303-1756
configuration_controlled_3d_parts_and_assemblies_arm,ISO/TS 10303-1230
configuration_effectivity_arm,ISO/TS 10303-1058
configuration_item_arm,ISO/TS 10303-1056
connection_of_individual_activity_arm,ISO/TS 10303-1178
connection_of_individual_product_arm,ISO/TS 10303-1167
connectivity_allocation_to_physical_network_arm,ISO/TS 10303-1658
construction_geometry_arm,ISO/TS 10303-1131
construction_history_arm,ISO/TS 10303-1119
constructive_solid_geometry_2d_arm,ISO/TS 10303-1731
constructive_solid_geometry_3d_arm,ISO/TS 10303-1068
containment_of_individual_product_arm,ISO/TS 10303-1168
contextual_shape_positioning_arm,ISO/TS 10303-1027
contract_arm,ISO/TS 10303-1062
currency_arm,ISO/TS 10303-1775
curve_appearance_arm,ISO/TS 10303-1003
curve_swept_solid_arm,ISO/TS 10303-1659
data_structure_representation_arm,ISO/TS 10303-1370
date_time_arm,ISO/TS 10303-1010
date_time_assignment_arm,ISO/TS 10303-1014
datum_difference_based_model_arm,ISO/TS 10303-1660
decision_support_arm,ISO/TS 10303-1486
default_tolerance_arm,ISO/TS 10303-1052
derived_shape_element_arm,ISO/TS 10303-1130
description_assignment_arm,ISO/TS 10303-1473
description_by_individual_document_arm,ISO/TS 10303-1185
